NUMBER_1,X_WORLD_1,Y_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,THRESHOLD_1,FLUX_MAX_1,ISOAREA_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,THRESHOLD_2,FLUX_MAX_2,ISOAREA_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation,B_V
6489,154.40268973671428,-46.49779610897645,2264.752,2868.6775,30957.594,194.66182,17.547083,0.0068287845,98.82988,68.92337,591.80585,146,18.828407,2,1.0597644,0.05639404,7590,154.40271903733492,-46.49786172173806,2264.9326,2869.2847,91078.06,353.43036,16.841465,0.0042142463,248.70128,152.23218,2250.4177,146,28.69848,2,1.0783548,0.0726614,0.24711487368843732,0.7056179
6490,154.38719553841725,-46.49661367395309,2166.3916,2856.8784,6761.557,97.55412,19.198883,0.015668547,99.43835,68.92337,188.9041,58,16.348042,0,1.0289947,0.028177619,7589,154.3871977221801,-46.496694639837045,2166.3987,2857.6257,18048.406,178.10515,18.598902,0.010716857,252.13788,152.23218,611.42944,59,75.1538,0,1.0609294,0.057430208,0.29152741901866985,0.5999813
6491,154.32815616649697,-46.49803313612186,1791.1117,2866.79,26961.227,182.94621,17.697151,0.0073690857,97.12883,68.92337,501.24683,137,-13.012425,0,1.098018,0.08926815,7583,154.32817155145187,-46.49809379819659,1791.205,2867.3508,78883.71,336.76984,16.997532,0.0046363445,246.5676,152.23218,1787.1631,149,-6.309324,0,1.0693102,0.06481761,0.22168663907393749,0.6996193
6492,154.6112865735253,-46.496198905859856,3590.4314,2867.7153,30916.514,193.4544,17.548523,0.0067954455,94.38552,68.92337,617.32416,137,22.611847,0,1.0836333,0.07717866,7588,154.6113703364713,-46.49624967941822,3590.958,2868.1904,79761.84,333.5856,16.985512,0.0045419456,236.5652,152.23218,2011.425,136,-2.379996,0,1.0537308,0.05099106,0.27658992194290966,0.56301117
6493,154.23264417773362,-46.49941209692804,1184.091,2874.9502,24292.307,174.00531,17.810328,0.0077789966,95.640335,68.92337,454.4276,126,82.71428,2,1.1444627,0.1262275,7584,154.23264018497665,-46.49948868389216,1184.0607,2875.657,76120.39,336.1072,17.036247,0.0047951993,239.10605,152.23218,1511.2305,159,81.53899,2,1.1433285,0.12536079,0.2758905538706504,0.7740803
6494,154.0969866878816,-46.50155471917303,321.9588,2889.5012,295353.2,559.8681,15.098146,0.0020586092,93.51021,68.92337,4382.7524,381,-20.634907,0,1.1134212,0.10186732,7594,154.09696018631553,-46.501604755997946,321.788,2889.9624,700216.0,887.5901,14.62692,0.0013766078,230.99556,152.23218,13017.365,378,16.597107,0,1.044017,0.042161107,0.1917300779896002,0.4712267
6495,154.49304074075323,-46.495731167261496,2839.0757,2855.1555,4827.0703,83.73929,19.56479,0.018839763,96.73011,68.92337,161.97546,46,20.539795,0,1.2096134,0.1732896,7599,154.49310218753,-46.49581344092354,2839.4585,2855.9192,14360.867,163.22813,18.847048,0.0123436665,245.37216,152.23218,510.0886,53,-1.194371,0,1.2042413,0.16960168,0.3330395834692105,0.7177429
6496,154.3748810569025,-46.496607423148944,2088.1382,2856.1318,4309.9917,78.50261,19.687809,0.01978051,99.54984,68.92337,549.0107,39,-62.088356,0,1.1486837,0.12943834,7596,154.37485746029216,-46.49674121635123,2087.9775,2857.3655,10513.961,142.29303,19.185583,0.0146976225,252.37486,152.23218,399.4032,42,34.55292,0,1.0651977,0.061207116,0.4851924347912542,0.5022259
6497,154.25695082456423,-46.49831598186372,1338.6179,2865.925,21831.18,165.20949,17.926308,0.008218407,95.14459,68.92337,439.0759,115,-15.964984,0,1.1173296,0.10500896,7591,154.25692171485593,-46.498391724292915,1338.4279,2866.6228,75303.43,324.70056,17.047962,0.0046827192,238.00967,152.23218,1790.5647,130,-4.13029,0,1.0534976,0.050780892,0.2820538167085895,0.8783455
6498,154.43263865991582,-46.495806353065554,2455.2344,2852.0735,1151.6658,42.62307,21.120684,0.040192783,98.69236,68.92337,104.65098,14,32.205242,0,1.2921363,0.22608787,7607,154.43263990380223,-46.495886334437586,2455.2354,2852.8118,5525.7407,106.39267,19.884024,0.020909855,249.28642,152.23218,328.42392,25,-5.5420485,0,1.1418173,0.124203146,0.2879494408083791,1.23666
6499,154.56787988399654,-46.49771511326825,3314.4458,2878.555,17849.41,152.52837,18.144941,0.009280183,95.83999,68.92337,368.36508,114,55.38097,0,1.3035486,0.2328633,7586,154.56791272415953,-46.49774493710629,3314.6514,2878.8328,58344.285,302.46326,17.325005,0.0056299446,241.3542,152.23218,1378.7048,134,59.953403,0,1.4425577,0.30678684,0.1347247077683604,0.81993675
6500,154.05006302614822,-46.498888658512506,23.906227,2863.4263,8205.791,106.494484,18.988699,0.014094072,96.06548,68.92337,206.13266,66,-2.194148,0,1.0550778,0.052202642,7593,154.04998372132994,-46.498963060769626,23.399105,2864.1108,32602.375,230.7115,17.956877,0.0076851053,228.36041,152.23218,788.1899,89,-51.116867,0,1.0267942,0.026094973,0.33221317379495036,1.0318222
6501,154.5344172758554,-46.49628390345971,3101.9536,2863.014,8564.582,108.38529,18.942234,0.013743394,95.91296,68.92337,235.88675,67,37.242146,0,1.0592332,0.05592084,7598,154.5344539339587,-46.49634582508828,3102.1804,2863.5881,30694.113,222.92894,18.022362,0.007887533,243.39964,152.23218,908.43494,82,0.79867816,0,1.0796778,0.07379782,0.240719100706946,0.9198723
6502,154.6361614297882,-46.49413539923426,3748.728,2850.5447,1209.7695,43.299305,21.067244,0.038869426,93.40168,68.92337,105.51807,14,75.27703,0,1.0226758,0.022172928,7602,154.63625502650146,-46.49420196448088,3749.3154,2851.1663,5273.6636,104.09407,19.93472,0.021435983,233.01286,152.23218,319.4936,24,19.241348,0,1.2086401,0.17262381,0.33351536032893,1.1325245
6503,154.43726354628424,-46.496982590332806,2484.5208,2863.21,9579.858,114.01828,18.820602,0.012925437,98.513374,68.92337,239.94278,72,2.2292743,0,1.0905596,0.08303958,7611,154.43726977036573,-46.49705060685711,2484.5544,2863.8384,28107.709,213.82336,18.117937,0.008261512,248.85252,152.23218,832.5259,76,0.3919213,0,1.0839014,0.07740688,0.2453448323838504,0.7026653
6504,154.36353325313982,-46.49816334455536,2015.904,2869.8706,17278.686,148.26198,18.180223,0.009318562,98.81614,68.92337,381.3441,99,-13.119505,0,1.0548277,0.051977873,7608,154.36352600756427,-46.49822452522954,2015.8531,2870.435,53674.707,281.36597,17.415575,0.005692876,248.50507,152.23218,1399.594,110,14.512115,0,1.0241337,0.023564994,0.2209811243105342,0.76464844
6505,154.6175494690706,-46.49526966674259,3630.33,2859.6057,3473.8665,71.6695,19.921967,0.022405317,94.30532,68.92337,134.52623,35,19.291613,0,1.0637393,0.059920073,7614,154.61763888851803,-46.49533266814841,3630.8916,2860.194,9749.167,137.90947,19.267582,0.015362306,235.97444,152.23218,407.83533,40,-43.763214,0,1.0310079,0.030075252,0.3170967763638301,0.6543846
